Variable	term	df	sumsq	meansq	statistic	p.value	adjusted.p
OMpct	Month	1	0.304761904761905	0.304761904761905	5.64720712203578	0.0447977068447694	0.18048521965488
OMpct	Biochar	3	0.0662987012987013	0.0220995670995671	0.409502732357849	0.750622635233814	1
OMpct	Column	1	0.00227272727272724	0.00227272727272724	0.042113405384499	0.842529171011217	1
OMpct	Row	1	0.00826530612244896	0.00826530612244896	0.153155282439139	0.705755232504361	1
OMpct	Residuals	8	0.431734693877551	0.0539668367346939	NA	NA	NA
PhosphorusPPM	Month	1	25.725	25.725	0.91426032874278	0.366984305437844	0.733968610875689
PhosphorusPPM	Biochar	3	40.1931818181818	13.3977272727273	0.476152013246638	0.707567209358383	1
PhosphorusPPM	Column	1	30.5818181818182	30.5818181818182	1.08687048180607	0.327643138792527	1
PhosphorusPPM	Row	1	1.99999999999999	1.99999999999999	0.0710795202132382	0.796514625731919	1
PhosphorusPPM	Residuals	8	225.1	28.1375	NA	NA	NA
PotassiumPPM	Month	1	5662.81071428572	5662.81071428572	2.66040510436097	0.14152035793522	0.424561073805659
PotassiumPPM	Biochar	3	12196.6801948052	4065.56006493506	1.91001205842065	0.206478596785315	1
PotassiumPPM	Column	1	536.809090909089	536.809090909089	0.252194487433446	0.629062444648132	1
PotassiumPPM	Row	1	63.6836734693872	63.6836734693872	0.0299187768249085	0.866970835047729	1
PotassiumPPM	Residuals	8	17028.4163265306	2128.55204081633	NA	NA	NA
MagnesiumPPM	Month	1	71281.719047619	71281.719047619	6.32448248480687	0.036097043930976	0.18048521965488
MagnesiumPPM	Biochar	3	81857.2142857142	27285.7380952381	2.42093169151937	0.141181801086926	1
MagnesiumPPM	Column	1	1425.59999999998	1425.59999999998	0.126486599240366	0.731298584190899	1
MagnesiumPPM	Row	1	194.326530612256	194.326530612256	0.0172416540399295	0.898774190664367	1
MagnesiumPPM	Residuals	8	90166.0734693877	11270.7591836735	NA	NA	NA
CalciumPPM	Month	1	173061.010714286	173061.010714286	15.3838832851634	0.00440455839141415	0.0355976790557438
CalciumPPM	Biochar	3	123943.589285714	41314.5297619048	3.67256553752513	0.062687807364404	0.877629303101656
CalciumPPM	Column	1	1804.27500000002	1804.27500000002	0.160387113768585	0.699282413382138	1
CalciumPPM	Row	1	482.716836734692	482.716836734692	0.0429100664873025	0.841070224182496	1
CalciumPPM	Residuals	8	89996.0081632654	11249.5010204082	NA	NA	NA
SodiumPPM	Month	1	260.742857142857	260.742857142857	15.9919892355353	0.00395529767286042	0.0355976790557438
SodiumPPM	Biochar	3	136.675324675325	45.5584415584416	2.79420926415325	0.109012142780834	1
SodiumPPM	Column	1	8.45681818181818	8.45681818181818	0.518677085970637	0.491909701976562	1
SodiumPPM	Row	1	61.2882653061225	61.2882653061225	3.75895734893764	0.0885097291467423	1
SodiumPPM	Residuals	8	130.436734693877	16.3045918367347	NA	NA	NA
SulfurSO4ppm	Month	1	14.1440476190476	14.1440476190476	18.1547697009387	0.00275823822293257	0.0275823822293257
SulfurSO4ppm	Biochar	3	0.952922077922078	0.317640692640693	0.40771169454863	0.751804131229387	1
SulfurSO4ppm	Column	1	0.0363636363636367	0.0363636363636367	0.0466750014883614	0.834360338662979	1
SulfurSO4ppm	Row	1	0.367346938775509	0.367346938775509	0.471512770137523	0.5117008241082	1
SulfurSO4ppm	Residuals	8	6.23265306122449	0.779081632653061	NA	NA	NA
CEC	Month	1	16.0466785714286	16.0466785714286	7.61002007062829	0.0247271759194313	0.152631180518941
CEC	Biochar	3	18.1850487012987	6.0616829004329	2.87470882704743	0.103301644531313	1
CEC	Column	1	0.338272727272727	0.338272727272727	0.160423369386556	0.699250399283304	1
CEC	Row	1	0.125	0.125	0.0592803367123127	0.813764202448271	1
CEC	Residuals	8	16.869	2.108625	NA	NA	NA
pH	Month	1	0.0334404761904761	0.0334404761904761	8.06687179487177	0.0218044543598487	0.152631180518941
pH	Biochar	3	0.0190746753246752	0.00635822510822507	1.53379953379952	0.278983265358469	1
pH	Column	1	0.000568181818181786	0.000568181818181786	0.137062937062929	0.720828265445337	1
pH	Row	1	0.00308673469387754	0.00308673469387754	0.744615384615381	0.413306002647504	1
pH	Residuals	8	0.0331632653061225	0.00414540816326531	NA	NA	NA
TNpct	Month	1	0.00217929642857143	0.00217929642857143	50.3156462585032	0.000102664920786815	0.00123197904944178
TNpct	Biochar	3	0.000130167207792208	4.33890692640692e-05	1.00176783293666	0.440406292287253	1
TNpct	Column	1	3.55113636363637e-05	3.55113636363637e-05	0.819887183523546	0.391667028335319	1
TNpct	Row	1	6.12499999999997e-06	6.12499999999997e-06	0.14141414141414	0.716655773440709	1
TNpct	Residuals	8	0.000346500000000002	4.33125000000002e-05	NA	NA	NA
TCpct	Month	1	0.00646297619047618	0.00646297619047618	0.515182387251363	0.493327776741486	0.733968610875689
TCpct	Biochar	3	0.0459076298701298	0.0153025432900433	1.21980965902351	0.36373272471652	1
TCpct	Column	1	0.00546022727272729	0.00546022727272729	0.435250392140372	0.527955873451817	1
TCpct	Row	1	0.0095022959183674	0.0095022959183674	0.757455288603301	0.409479966141849	1
TCpct	Residuals	8	0.100360204081633	0.0125450255102041	NA	NA	NA
NH4ppm	Month	1	308.98749	308.98749	393.771073032881	4.33303326073804e-08	6.06624656503325e-07
NH4ppm	Biochar	3	2.88818181818181	0.962727272727271	1.22689158457463	0.361513353979184	1
NH4ppm	Column	1	0.945818181818179	0.945818181818179	1.2053427805396	0.304198229075187	1
NH4ppm	Row	1	0.132244897959183	0.132244897959183	0.168531791926305	0.692195015413495	1
NH4ppm	Residuals	8	6.27750510204082	0.784688137755102	NA	NA	NA
NO3ppm	Month	1	839.700026785715	839.700026785715	49.1195413550583	0.000111683664734159	0.00123197904944178
NO3ppm	Biochar	3	33.3612050324676	11.1204016774892	0.650504957315767	0.60452522487382	1
NO3ppm	Column	1	19.5639281818182	19.5639281818182	1.14442199445046	0.315931749314915	1
NO3ppm	Row	1	5.18880102040821	5.18880102040821	0.303526876473652	0.596725436813674	1
NO3ppm	Residuals	8	136.760238979592	17.095029872449	NA	NA	NA
MoisturePCT	Month	1	0.0132956493704805	0.0132956493704805	270.665923883234	1.87902078458813e-07	2.44272701996456e-06
MoisturePCT	Biochar	3	9.70331550487308e-05	3.23443850162436e-05	0.658450189901495	0.600180051678883	1
MoisturePCT	Column	1	0.000184238390631503	0.000184238390631503	3.75062945972029	0.0888038683061079	1
MoisturePCT	Row	1	6.93759290036446e-05	6.93759290036446e-05	1.41231912754258	0.268751414373217	1
MoisturePCT	Residuals	8	0.000392975936674358	4.91219920842947e-05	NA	NA	NA
