OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	BiocharEffect	VC	VC.Status	ClstrComp	Order	Family	Genus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus
biochar_1128	1932.46446930247	-2.06118717908694	1.37084317335805	32.5824467538971	3.94463626578605e-07	6.01708747311827e-05	S	217_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1143	945.41533087152	-2.82430125283126	2.47612026175385	19.2247009845589	0.000245654075845246	0.0202971680167134	S		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1172	679.970460500806	-6.18649788380427	1.22329790860985	37.8775882924121	3.0002687602296e-08	5.94953295153529e-06	S	489_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1178	1983.07553520903	13.161076171526	1.27582715061274	105.222601551203	1.17021878608617e-22	2.32054385280888e-19	S		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1211	1037.88761547612	-4.50037420678487	2.42857121746952	19.2809054589804	0.000239164032307592	0.0202971680167134	S	191_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1247	1046.77581806367	7.52834463911997	1.28486310439424	45.8749851555067	6.02943657527086e-10	1.49454659109527e-07	S		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1252	640.879052266302	3.42113119595471	2.65025228437806	17.1311880800552	0.000664164226440148	0.038736401795024	S	361_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1318	660.255871214692	-6.2503133743099	2.02607859504817	16.6719594893323	0.000825455144670552	0.0430757250495185	S	353_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1411	1161.25438739314	-6.7483768246321	1.00777289595905	89.8799144043053	2.32460799601507e-19	1.53656588536596e-16	S	271_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1424	662.108516659231	-11.5537216287296	2.33001948851501	26.1825468109192	8.7338384754529e-06	0.00102468821386781	S	235_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1644	418.075939635584	6.08124263296858	1.72099629505302	16.7411588247492	0.000798866802396976	0.0430757250495185	S	446_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_169	4618.80608359606	-1.42557503075835	0.360406087648714	18.7375292462878	0.000309777007270692	0.0226292071519417	S	604_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1747	432.005598112592	5.75900353183187	1.68687461929028	18.6724060785375	0.000319524861449504	0.0226292071519417	S	116_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_203	9399.64230002674	-0.864753091133203	0.317227786218795	19.2345968830428	0.00024449879875695	0.0202971680167134	S	761_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2200	816.5752753389	-4.820697640754	1.03303235634707	49.4420355231242	1.05031205349347e-10	2.97538400296793e-08	S	77_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2431	411.658159081872	4.9255783366545	2.03735874435906	16.5253669955289	0.000884718955569325	0.044574894743141	S	645_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2495	622.337986475753	11.2347842879477	1.94339913397989	25.0605906884309	1.49965783846865e-05	0.00165212305204629	S	769_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_267	1182.23683403418	-7.78571226574754	2.02459521350285	18.6907432946355	0.000316749630288388	0.0226292071519417	S	225_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2789	831.746206397513	7.94529103784588	1.44864145623698	40.990578912848	6.56935802470852e-09	1.44744855144411e-06	S	287_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2812	1246.80093388005	4.66375271770464	1.848424865108	19.1226862416751	0.000257884830945443	0.0204554247905926	S	794_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2906	314.732226141418	-5.44824425930046	1.37232383435954	24.535066479971	1.93125197333615e-05	0.00201561719111873	S	316_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_3135	352.151076697652	4.96971514531088	2.03750418299691	16.7885111804746	0.000781164794557945	0.0430757250495185	S	688_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_394	7340.04486898874	-0.223366283332996	0.334516990797361	21.6940242260203	7.55268849143293e-05	0.00713189584691024	S	213_0	Clustered	both	Caudovirales	Podoviridae	Unassigned	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Mixed
biochar_3999	545.463781361348	1.11847411760837	0.722518041411933	77.0418217209189	1.32256057076569e-16	6.5565940295709e-14	S	777_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_4196	406.303727890601	0.200483630964009	0.869514759515555	53.7971324480609	1.23959450099994e-11	4.09685982580479e-09	S		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_429	2578.59443588834	0.0757938591949775	0.309785824233862	16.167298313277	0.00104784837653161	0.0483228681549344	S	517_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_4418	270.366728828829	-0.248238379106661	1.58140968854427	17.3384296486441	0.000602038702999956	0.0373577838509397	S	493_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_454	1802.37662234042	1.06551588512455	2.22290643163452	16.3114211109124	0.000978875699991484	0.0462169169781694	S	123_1	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_4678	706.993823280902	-28.1900599167048	2.83878866240197	17.2706703481626	0.00062168777966768	0.0373577838509397	S		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_471	2088.45191490586	11.7730311608386	2.37425243283509	16.7046025967806	0.000812804944324662	0.0430757250495185	S	465_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_502	1516.48107987966	-1.38557295962712	2.26158149338281	16.4341921172009	0.000923691180341505	0.0446751124540782	S		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_508	1253.43325553201	12.1936874254002	1.90901460305796	26.170548153459	8.78451822276994e-06	0.00102468821386781	S	36_0	Clustered	both	Caudovirales	Podoviridae	Mixed	Proteobacteria	Mixed	Mixed	Mixed	Mixed
biochar_558	2016.03679731013	-5.58340181589646	1.96707041567448	17.3260862016256	0.000605571532793183	0.0373577838509397	S	591_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_562	988.127335472483	-21.5799248760378	2.71540715897277	23.4240664057003	3.29440416738592e-05	0.00326640173196314	S		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_572	1487.2643063915	6.49052572482436	1.25098065395419	36.1812205100159	6.85599669819558e-08	1.23594922295653e-05	S	44_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_595	1717.42662916764	-6.72130403467991	0.89655481320256	97.3518452003975	5.76529936669041e-21	5.71629432207355e-18	S	729_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_6083	266.857942552817	-4.78887650022151	1.61484333240767	16.4911710914739	0.000899140589876773	0.044574894743141	S		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_612	3444.47064383686	4.34177070257132	1.0223309599152	30.7178427348889	9.74642438575337e-07	0.000138051139692492	S		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_623	855.381543554759	6.75847452894669	1.33029197643285	34.1060376343976	1.88165247244295e-07	3.10943071071198e-05	S	659_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_750	1506.25375533844	13.393110577499	1.91888254879692	28.8051646600848	2.46078420977181e-06	0.000325315672531833	S		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_758	2617.12898441348	-2.92573307420921	1.91481476674904	18.2589647202064	0.000388934710731526	0.0257085843793539	S		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_824	807.959901624313	-26.0667884112383	2.28660146316227	18.279090495165	0.000385232568664306	0.0257085843793539	S	302_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_847	932.327426616805	-13.9750321851549	1.96848136113938	64.6773828513228	5.87985482658243e-14	2.33195042422259e-11	S	492_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
